"Symbol","Description","Market Capitalization","Average Volume (10 Day)","Price","Universe","Sector","Industry","Sub-Industry"
"RXRX","Recursion Pharmaceuticals Inc","$2B (Small)","19,065,490","$4.33","Domestic","Health Care","Biotechnology","Biotechnology"
"RYAAY","Ryanair Holdings PLC","$37B (Mid)","1,148,820","$71.21","International (ADR)","Industrials","Passenger Airlines","Passenger Airlines"
"RYCEY","Rolls-Royce Holdings PLC","$124B (Large)","2,963,510","$14.77","International (ADR)","Industrials","Aerospace & Defense","Aerospace & Defense"
"RYTM","Rhythm Pharmaceuticals Inc","$8B (Small)","1,107,680","$113.56","Domestic","Health Care","Biotechnology","Biotechnology"
"S","SentinelOne Inc","$5B (Small)","14,694,660","$15.08","Domestic","Information Technology","Software","Systems Software"
"SA","Seabridge Gold Inc","$3B (Small)","1,082,080","$29.87","International (ADR)","Materials","Metals & Mining","Gold"
"SAIA","Saia Inc","$9B (Mid)","619,390","$345.05","Domestic","Industrials","Ground Transportation","Cargo Ground Transportation"
"SAIC","Science Applications International Corp","$5B (Small)","993,180","$100.18","Domestic","Industrials","Professional Services","Research & Consulting Services"
"SAIL","SailPoint Inc","$12B (Mid)","2,888,970","$21.03","Domestic","Information Technology","Software","Application Software"
"SANM","Sanmina Corp","$9B (Mid)","594,060","$160.63","Domestic","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services"
"SAP","SAP SE","$286B (Large)","1,390,800","$244.83","International (ADR)","Information Technology","Software","Application Software"
"SARO","StandardAero, Inc.","$9B (Mid)","1,570,460","$27.80","Domestic","Industrials","Aerospace & Defense","Aerospace & Defense"
"SBSW","Sibanye Stillwater Ltd","$9B (Mid)","4,963,180","$13.29","International (ADR)","Materials","Metals & Mining","Precious Metals & Minerals"
"SCCO","Southern Copper Corp","$117B (Large)","1,111,580","$142.41","Domestic","Materials","Metals & Mining","Copper"
"SEE","Sealed Air Corp","$6B (Small)","2,916,950","$42.00","Domestic","Materials","Containers & Packaging","Paper & Plastic Packaging Products & Materials"
"SEOAY","Stora Enso Oyj","$7B (Small)","24,610","$11.96","International (ADR)","Materials","Paper & Forest Products","Paper Products"
"SHC","Sotera Health Co","$5B (Small)","2,921,690","$16.83","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"SHOP","Shopify Inc","$214B (Large)","6,523,100","$164.19","International (ADR)","Information Technology","IT Services","Internet Services & Infrastructure"
"SHW","Sherwin-Williams Co","$81B (Large)","1,646,910","$328.69","Domestic","Materials","Chemicals","Specialty Chemicals"
"SID","Companhia Siderurgica Nacional SA","$2B (Small)","2,677,340","$1.81","International (ADR)","Materials","Metals & Mining","Steel"
"SIEGY","Siemens AG","$217B (Large)","121,840","$139.28","International (ADR)","Industrials","Industrial Conglomerates","Industrial Conglomerates"
"SIM","Grupo Simec SAB de CV","$5B (Small)","300","$29.70","International (ADR)","Materials","Metals & Mining","Steel"
"SIMO","Silicon Motion Technology Corp","$3B (Small)","296,990","$87.71","International (ADR)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"SITE","SiteOne Landscape Supply Inc","$6B (Small)","597,800","$129.87","Domestic","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"SITM","SiTime Corp","$9B (Mid)","460,470","$362.05","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"SKBSY","Skanska AB","$11B (Mid)","7,140","$26.97","International (ADR)","Industrials","Construction & Engineering","Construction & Engineering"
"SKFRY","SKF AB","$12B (Mid)","8,100","$27.12","International (ADR)","Industrials","Machinery","Industrial Machinery & Supplies & Components"
"SKYW","SkyWest Inc","$4B (Small)","269,670","$105.84","Domestic","Industrials","Passenger Airlines","Passenger Airlines"
"SLAB","Silicon Laboratories Inc","$4B (Small)","286,760","$136.39","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"SLGN","Silgan Holdings Inc","$4B (Small)","1,044,820","$40.04","Domestic","Materials","Containers & Packaging","Metal, Glass & Plastic Containers"
"SLNO","Soleno Therapeutics Inc","$3B (Small)","1,513,870","$52.00","Domestic","Health Care","Biotechnology","Biotechnology"
"SMCAY","SMC Corp","$23B (Mid)","256,740","$17.95","International (ADR)","Industrials","Machinery","Industrial Machinery & Supplies & Components"
"SMCI","Super Micro Computer Inc","$19B (Mid)","19,529,350","$32.33","Domestic","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"SMG","Scotts Miracle-Gro Co","$3B (Small)","763,050","$57.75","Domestic","Materials","Chemicals","Fertilizers & Agricultural Chemicals"
"SMMT","Summit Therapeutics Inc","$13B (Mid)","2,752,760","$17.57","Domestic","Health Care","Biotechnology","Biotechnology"
